iso	lang	lat	area	language	glottocode
tzn	126.7001	-7.72555	Papua	Tugun	tugu1245
dho	73.27433	21.06564	Eurasia	Dhodia-Kukna	dhod1238
dhn	73.74179	20.77195	Eurasia	Dhanki	dhan1264
dhm	13.44244	-17.295835	Africa	Zemba	zemb1238
dhl	114.93718	-22.19598	Australia	Dhalandji	dhal1245
dhi	88.379815	26.62827	Eurasia	Dhimal	dhim1246
drh	99.44493	50.62298	Eurasia	NA	NA
dhg	135.75214	-11.94927	Australia	Dhangu	dhan1270
anx	147.08493	-2.05894	Papua	Andra-Hus	andr1248
dhd	76.198	26.473	Eurasia	Dhundari	dhun1238
dha	83.16442	23.06127	Eurasia	Dhanwar (India)	dhan1267
any	-3.305315	6.31781	Africa	Anyin	anyi1245
dhx				NA	NA
dhw	85.0074	27.54803	Eurasia	Kochariya-East Danuwar	koch1253
dhv	167.22924	-20.88918	Papua	Dehu	dehu1237
dhu	150.13383	-35.41204	Australia	Dhurga	dhur1239
dhs	38.81801	-4.81209	Africa	Dhaiso	dhai1238
dhr	114.84667	-24.06008	Australia	Dhargari	dhar1247
sjo	81.00336	43.58535	Eurasia	Xibe	xibe1242
sjl	96.66328	27.65952	Eurasia	Sajolang	saja1240
jku	9.59527	10.48469	Africa	Labir	labi1245
sjm	118.74997	6.09061	Papua	Mapun	mapu1244
jkr	92.8	26.6	Eurasia	Koro	koro1316
jkm			Eurasia	Mobwa Karen	mobw1234
jko	142.18292	-5.92584	Papua	Kubo	kubo1242
sja	-77.356568	4.258768	South America	Epena	epen1239
sjg	22.63932	13.95921	Africa	Assangori	assa1269
sjd	35.83479	68.21579	Eurasia	Kildin Saami	kild1236
hah	154.80129	-5.59031	Papua	Hahon	haho1237
bnz	10.10905	6.81552	Africa	Beezen	beez1238
bny	113.6342	3.867	Papua	Bintulu	bint1246
bnx	27.24376	-4.31464	Africa	Bangubangu	bang1350
hal	107.45652	14.78621	Eurasia	Halang	hala1252
ham	142.55148	-5.03635	Papua	Hewa	hewa1241
han	30.70739	-2.52347	Africa	Hangaza	hang1260
hao	154.59388	-5.06832	Papua	Hako	hako1237
bns	78.95417	24.89823	Eurasia	Bundeli	bund1253
bnr	167.03365	-15.33532	Papua	Farafi	butm1237
bnq	124.84556	1.44586	Papua	Bantik	bant1286
bnp	150.09488	-5.55792	Papua	Bola	bola1250
had	134.03715	-1.13531	Papua	Hatam	hata1243
hae	41.43953	8.67428	Africa	Eastern Oromo	east2652
haf	106.68927	20.8537	Eurasia	Haiphong Sign Language	haip1238
hag	-1.57833	9.33929	Africa	Hanga	hang1258
hax	-132.00834	53.26164	North America	Southern Haida	sout2956
bnj	121.17652	12.89681	Papua	Eastern Tawbuid	east2482
haz	64.5104766667	33.3708	Eurasia	Hazaragi	haza1239
bno	122.03419	12.51942	Papua	Bantoanon	bant1288
bnn	121.02534	23.41164	Papua	Bunun	bunu1267
