id	glottocode
925	whit1267
926	redg1235
927	laha1250
928	ennn1243
929	yero1238
930	redg1235
931	whit1267
932	whit1267
933	taim1250
934	sugu1243
935	eeee1240
936	mula1253
937	lakk1238
938	whit1267
939	dong1285
940	tuuu1240
941	east2337
942	bona1250
943	halh1238
944	mand1415
945	whit1267
947	qabi1235
948	whit1267
949	laha1250
951	lolo1265
952	alor1249
953	mond1267
954	maan1239
957	mant1265
958	mant1265
960	boly1239
961	buga1247
962	buga1247
963	mant1265
965	kath1251
966	mang1378
968	kiok1239
969	kiok1239
970	wusa1235
971	caij1234
972	mori1268
973	waxi1236
975	iumi1238
976	biao1253
977	sich1238
978	itaw1240
980	anir1237
981	ment1249
982	ment1249
983	ment1249
984	ment1249
985	ment1249
986	ment1249
987	ment1249
988	ment1249
989	ment1249
990	ment1249
991	ment1249
992	ment1249
993	engg1245
994	sime1241
995	papi1254
996	morm1235
997	andi1257
998	kara1486
999	umaa1242
1000	lele1267
1001	vaoo1237
1002	mask1242
1003	paam1238
1004	futu1245
1005	arak1252
1006	rori1237
1007	bier1244
1008	lame1260
1009	mpot1241
1010	akei1237
1011	tutu1241
1012	urip1239
1013	sout2869
1014	siee1239
1015	vuna1239
1016	nort2839
1017	merl1237
1018	urip1239
1019	lako1245
1020	malo1243
1021	sout2859
1022	bier1244
1023	akei1237
1024	moro1286
1025	dixo1238
1026	lonw1238
1027	tang1347
1028	kwam1252
1029	vinm1237
1030	emae1237
1031	bier1246
1032	koro1308
1033	baki1244
1034	lare1249
1035	axam1237
1036	piam1242
1037	seke1241
1038	daka1243
1039	sout2869
1040	nama1268
1041	bier1244
1042	ambl1237
1043	sout2869
1044	lame1260
1045	maee1241
1046	lena1238
1047	labo1244
1048	malo1243
1049	lore1244
1050	east2443
1051	labo1244
1052	mara1399
1053	litz1237
1054	urip1239
1055	mele1250
1056	nara1263
1057	dixo1238
1058	hiww1237
1059	paam1238
1060	lame1260
1061	sout2857
1062	repa1237
1063	lena1238
1064	shar1244
1065	vure1239
1066	unua1237
1067	baet1237
1068	aore1237
1069	urip1239
1070	baet1237
1071	vovo1238
1072	wusi1237
1073	daka1243
1074	nama1268
1075	maii1238
1076	nort2836
1077	vera1241
1078	nort2836
1079	akei1237
1080	cent2058
1081	burm1263
1082	kwam1252
1083	nort2847
1084	tamb1253
1085	port1285
1086	mari1426
1087	katb1237
1088	eton1255
1089	baet1237
1090	lame1260
1091	nama1268
1092	mota1237
1093	aulu1238
1094	axam1237
1095	whit1269
1096	malu1245
1097	lele1267
1098	nort2836
1099	lete1241
1100	butm1237
1101	moro1286
1102	malf1237
1103	lame1260
1104	vure1239
1105	urip1239
1106	lele1267
1107	lame1260
1108	tasm1246
1109	katb1237
1110	sout2856
1111	merl1237
1112	lena1238
1113	navu1237
1114	wail1242
1115	navu1237
1116	east2443
1117	tial1239
1118	butm1237
1119	futu1245
1120	nama1268
1121	burm1263
1122	wusi1237
1123	leha1244
1124	nort2836
1125	mafe1237
1126	lame1260
1127	kwam1252
1128	port1286
1129	weta1242
1130	motl1237
1131	nort2839
1132	wusi1237
1133	saka1289
1134	weta1242
1135	lame1260
1136	leme1238
1137	east2443
1138	valp1237
1139	whit1269
1140	ling1265
1141	urav1235
1142	sout2859
1143	paam1238
1144	west2513
1145	baet1237
1146	urip1239
1147	sout2869
1148	sout2869
1149	valp1237
1150	rere1240
1151	shar1244
1152	tolo1255
1153	loto1240
1154	nara1263
1155	anei1239
1156	baet1237
1157	nort2836
1158	mere1242
1159	maee1241
1160	burm1263
1161	sout2857
1162	apma1240
1163	mele1250
1164	bign1238
1165	hano1246
1166	noku1237
1167	fort1240
1168	leha1243
1169	bign1238
1170	urip1239
1171	saaa1241
1172	nume1241
1173	sowa1244
1174	shar1244
1175	leme1238
1176	axam1237
1177	bier1244
1178	malu1245
1179	wusi1237
1180	ulit1238
1181	sout2895
1182	ment1249
1183	engg1245
1184	saka1291
1185	ment1249
1186	tand1256
1187	nyal1254
1188	ajie1238
1189	nort3195
1190	plat1254
1191	bang1365
1192	jamb1236
1193	bang1365
1194	sika1262
1196	port1283
1197	cent1990
1198	ainu1251
1199	redg1235
1200	pamp1243
1201	jiam1236
1202	bola1250
1203	bulu1253
1204	cent2053
1205	mera1242
1206	fass1245
1207	raro1241
1208	alba1269
1209	lawa1257
1210	nasa1239
1211	arta1239
1212	nuku1259
1213	aust1304
1214	rapa1245
1215	pono1240
1216	labo1244
1217	labo1244
1218	labo1244
1219	labo1244
1220	labo1244
1221	katb1237
1222	katb1237
1223	katb1237
1224	katb1237
1225	katb1237
1226	sout2857
1227	sout2857
1228	sout2857
1229	nati1244
1230	lete1241
1231	lete1241
1232	lete1241
1233	lete1241
1234	lete1241
1235	lete1241
1236	lete1241
1237	nasa1240
1239	lete1241
1240	lete1241
1241	lete1241
1242	lete1241
1243	ling1265
1244	ling1265
1245	rere1240
1246	rere1240
1247	unua1237
1248	unua1237
1249	vinm1237
1250	vinm1237
1253	katb1237
1254	katb1237
1255	mara1399
1256	litz1237
1257	maga1263
1258	cama1250
1259	bayb1234
1260	atii1237
1261	umir1236
1262	aben1249
1263	amba1267
1264	maga1263
1265	boli1256
1266	boto1242
1267	magi1241
1268	tina1248
1269	iray1237
1270	alan1249
1271	tady1237
1272	buhi1245
1273	buhi1245
1274	hanu1241
1275	rata1245
1276	atii1237
1277	atii1237
1278	itaw1240
1282	aulu1238
1283	mara1399
1284	bign1238
1285	vaoo1237
1287	bign1238
1288	aulu1238
1289	urip1239
1290	malu1245
1291	maee1241
1292	burm1263
1293	nisv1234
1294	urip1239
1296	maee1241
1297	urip1239
1298	urip1239
1299	urip1239
1300	bign1238
1301	urip1239
1302	urip1239
1303	urip1239
1304	vaoo1237
1306	urip1239
1308	malu1245
1311	malu1245
1312	malu1245
1315	urip1239
1317	maee1241
1318	malu1245
1319	maee1241
1320	burm1263
1321	port1285
1323	malu1245
