;iso;languoid;affiliation;latitude;longitude;macro_area;country
8019;NOCODE_Amami-Sign;Amami O Shima Sign Language;Sign Language, Village Sign Language;28.326389;129.374722;NA;Japan
8020;NOCODE_Angami-Sign;Angami Naga Sign Language;Sign Language, Village Sign Language;26;95;NA;United States
8021;NOCODE_Bribri-Sign;Bribri Sign Language;Sign Language, Village Sign Language;9.620833;-82.844444;North America;Costa Rica
8022;NOCODE_Brunca-Sign;Brunca Sign Language;Sign Language, Village Sign Language;9.966667;-84.833333;North America;Costa Rica
8023;NOCODE_Bura-Sign;Bura Sign Language;Sign Language, Village Sign Language;10.478601;12.284840;Africa;Nigeria
8024;NOCODE_Chatino-Sign;Chatino Sign Language;Sign Language, Village Sign Language;16.3;-97.316667;North America;Mexico
8025;NOCODE_Enga-Sign;Enga Sign Language;Sign Language, Village Sign Language;-5.416667;143.5;Papua;Papua New Guinea
8026;NOCODE_Ghardaia-Sign-Language;Ghardaia Sign Language;Sign Language, Village Sign Language;32.483333;3.666667;Africa;Algeria
8027;NOCODE_Guinea-Bissau-Sign;Guinea-Bissau Sign Language;Sign Language, Village Sign Language;11.85;-15.566667;Africa;Guinea-Bissau
8028;NOCODE_Kafr-Qasem-Sign;Kafr Qasem Sign Language;Sign Language, Village Sign Language;32.1151;34.9751;NA;Israel
8029;NOCODE_Kajana-Sign;Kajana Sign Language;Sign Language, Village Sign Language;3.888611;-55.572222;South America;Suriname
8030;NOCODE_Keresan-Pueblo-Sign;Keresan Pueblo Indian Sign Language;Sign Language, Village Sign Language;35.503611;-106.723333;North America;United States 
8031;NOCODE_Mardin-Sign;Mardin Sign Language;Sign Language, Village Sign Language;37.316667;40.737778;Eurasia;Turkey
8032;NOCODE_Mbour-Sign;Mbour Sign Language;Sign Language, Village Sign Language;14.416667;-16.966667;Africa;Senegal
8033;NOCODE_Nanabin-Sign;Nanabin Sign Language;Sign Language, Village Sign Language;5.245634;-0.949953;Africa;Ghana
8034;NOCODE_Original-Costa-Rican-Sign;Original Costa Rican Sign Language;Sign Language, Village Sign Language;9.933333;-84.083333;North America;Costa Rica 
8035;syy;Al-Sayyid Bedouin Sign Language;Sign Language, Village Sign Language;31.284444;34.916111;Eurasia;Israel
8036;tsy;Tebul Sign Language;Sign Language, Village Sign Language;14.499995;-3.499957;Africa;Mali
8037;ygs;Yolngu Sign Language;Sign Language, Village Sign Language;-12.283333;136.816667;NA;Australia
8038;NOCODE_Old-Cayman-Sign;Old Cayman Sign Language;Sign Language, Village Sign Language, Providencia-Cayman Sign;19.333333;-81.216667;North America;Cayman Islands 
